

===============================================
2022-12-19 12:22:05

main_t.py --warmup 10 --scheduler linear --device 1

None

dataset: NCI1
use_node_attr: False
pre_transform: None
transform: None
clean_cache: False
use_public_splits: True
use_val: True
use_val_loss: True
same_best_epoch: False
early_stop: False
epochs: 100
scheduler: linear
warmup: 10
batch_size: 128
lr: 0.0001
weight_decay: 0.0001
clustering: True
tlayer_dropout: 0.1
seeds: 12344
save_state: False



| Epoch    0 | Train e:  46.53, T l:  0.7205 | Val e:  47.45 | Test e:  39.42 
| Epoch    1 | Train e:  60.01, T l:  0.6880 | Val e:  54.50 | Test e:  56.93 
| Epoch    2 | Train e:  62.04, T l:  0.6578 | Val e:  59.85 | Test e:  66.18 
| Epoch    3 | Train e:  62.83, T l:  0.6478 | Val e:  59.85 | Test e:  66.18 
| Epoch    4 | Train e:  62.01, T l:  0.6443 | Val e:  59.37 | Test e:  64.23 
| Epoch    5 | Train e:  62.29, T l:  0.6525 | Val e:  59.61 | Test e:  59.12 
| Epoch    6 | Train e:  62.29, T l:  0.6428 | Val e:  61.80 | Test e:  61.07 
| Epoch    7 | Train e:  62.17, T l:  0.6402 | Val e:  61.80 | Test e:  60.34 
| Epoch    8 | Train e:  62.32, T l:  0.6448 | Val e:  57.91 | Test e:  59.61 
| Epoch    9 | Train e:  62.23, T l:  0.6568 | Val e:  59.85 | Test e:  67.15 
| Epoch   10 | Train e:  63.14, T l:  0.6399 | Val e:  61.80 | Test e:  61.56 
| Epoch   11 | Train e:  62.47, T l:  0.6360 | Val e:  61.07 | Test e:  61.07 
| Epoch   12 | Train e:  63.47, T l:  0.6348 | Val e:  60.58 | Test e:  63.50 
| Epoch   13 | Train e:  63.59, T l:  0.6316 | Val e:  61.07 | Test e:  63.75 
| Epoch   14 | Train e:  62.56, T l:  0.6356 | Val e:  61.56 | Test e:  63.50 
| Epoch   15 | Train e:  62.93, T l:  0.6337 | Val e:  62.04 | Test e:  63.50 
| Epoch   16 | Train e:  63.66, T l:  0.6333 | Val e:  62.29 | Test e:  61.80 
| Epoch   17 | Train e:  63.56, T l:  0.6325 | Val e:  62.29 | Test e:  63.75 
| Epoch   18 | Train e:  63.26, T l:  0.6286 | Val e:  59.85 | Test e:  63.99 
| Epoch   19 | Train e:  63.02, T l:  0.6313 | Val e:  62.29 | Test e:  63.99 
| Epoch   20 | Train e:  61.86, T l:  0.6344 | Val e:  59.85 | Test e:  59.12 
| Epoch   21 | Train e:  62.93, T l:  0.6309 | Val e:  62.04 | Test e:  63.75 
| Epoch   22 | Train e:  63.78, T l:  0.6314 | Val e:  63.26 | Test e:  62.77 
| Epoch   23 | Train e:  63.38, T l:  0.6335 | Val e:  62.04 | Test e:  64.96 
| Epoch   24 | Train e:  63.26, T l:  0.6257 | Val e:  61.07 | Test e:  64.96 
| Epoch   25 | Train e:  63.87, T l:  0.6272 | Val e:  63.02 | Test e:  62.77 
