

===============================================
2022-12-24 16:55:03

main_parallel.py --num-layers 4 --gconv-dropout 0 --between-dropout 0 --tlayer-dropout 0 --scheduler linear --warmup 10 --gconv-dim 256 --tlayer-dim 256 --num-heads 8 --device 4 --batch-size 64

info: None
dataset: NCI109
use_val_loss: True
epochs: 100
scheduler: linear
warmup: 10
patience: 25
batch_size: 64
lr: 0.0001
weight_decay: 0.0001
clustering: True
masked_attention: False
gconv_dim: 256
tlayer_dim: 256
gconv_dropout: 0.0
between_dropout: 0.0
tlayer_dropout: 0.0
num_layers: 4
num_heads: 8
skip_connection: none
seeds: 12344
save_state: False




=============== Run  0 ================

| Epoch    0 | Train e:  55.80, T l:  0.6860 | Val e:  54.37 | Test e:  56.04 
| Epoch    1 | Train e:  75.16, T l:  0.5112 | Val e:  75.00 | Test e:  75.85 
| Epoch    2 | Train e:  77.64, T l:  0.4942 | Val e:  76.94 | Test e:  73.19 
| Epoch    3 | Train e:  77.28, T l:  0.4841 | Val e:  77.67 | Test e:  73.43 
| Epoch    4 | Train e:  79.85, T l:  0.4509 | Val e:  78.16 | Test e:  75.60 
| Epoch    5 | Train e:  79.13, T l:  0.4505 | Val e:  76.94 | Test e:  72.71 
| Epoch    6 | Train e:  76.07, T l:  0.5004 | Val e:  73.79 | Test e:  71.74 
| Epoch    7 | Train e:  78.79, T l:  0.4607 | Val e:  75.49 | Test e:  74.40 
| Epoch    8 | Train e:  78.82, T l:  0.4435 | Val e:  76.94 | Test e:  74.40 
| Epoch    9 | Train e:  79.88, T l:  0.4198 | Val e:  78.64 | Test e:  75.36 
| Epoch   10 | Train e:  81.70, T l:  0.3980 | Val e:  78.64 | Test e:  75.36 
| Epoch   11 | Train e:  81.07, T l:  0.4090 | Val e:  76.70 | Test e:  75.36 
| Epoch   12 | Train e:  85.46, T l:  0.3478 | Val e:  78.16 | Test e:  72.71 
| Epoch   13 | Train e:  84.52, T l:  0.3528 | Val e:  77.43 | Test e:  77.29 
| Epoch   14 | Train e:  83.64, T l:  0.3805 | Val e:  76.94 | Test e:  74.64 
| Epoch   15 | Train e:  86.43, T l:  0.3099 | Val e:  77.18 | Test e:  76.57 
